C1.C,R2.R,freq,Gain

1e-07,50.0,10.0,-26.021

1e-07,50.0,10.47,-26.021

1e-07,50.0,10.96,-26.021

1e-07,50.0,11.48,-26.021

1e-07,50.0,12.02,-26.021

1e-07,50.0,12.59,-26.021

1e-07,50.0,13.18,-26.021

1e-07,50.0,13.8,-26.021

1e-07,50.0,14.45,-26.021

1e-07,50.0,15.14,-26.021

1e-07,50.0,15.85,-26.021

1e-07,50.0,16.6,-26.021

1e-07,50.0,17.38,-26.021

1e-07,50.0,18.2,-26.021

1e-07,50.0,19.05,-26.021

1e-07,50.0,19.95,-26.021

1e-07,50.0,20.89,-26.021

1e-07,50.0,21.88,-26.021

1e-07,50.0,22.91,-26.021

1e-07,50.0,23.99,-26.021

1e-07,50.0,25.12,-26.021

1e-07,50.0,26.3,-26.021

1e-07,50.0,27.54,-26.021

1e-07,50.0,28.84,-26.021

1e-07,50.0,30.2,-26.021

1e-07,50.0,31.62,-26.021

1e-07,50.0,33.11,-26.021

1e-07,50.0,34.67,-26.021

1e-07,50.0,36.31,-26.021

1e-07,50.0,38.02,-26.021

1e-07,50.0,39.81,-26.021

1e-07,50.0,41.69,-26.021

1e-07,50.0,43.65,-26.021

1e-07,50.0,45.71,-26.021

1e-07,50.0,47.86,-26.021

1e-07,50.0,50.12,-26.021

1e-07,50.0,52.48,-26.021

1e-07,50.0,54.95,-26.021

1e-07,50.0,57.54,-26.021

1e-07,50.0,60.26,-26.021

1e-07,50.0,63.1,-26.021

1e-07,50.0,66.07,-26.021

1e-07,50.0,69.18,-26.021

1e-07,50.0,72.44,-26.021

1e-07,50.0,75.86,-26.021

1e-07,50.0,79.43,-26.021

1e-07,50.0,83.18,-26.021

1e-07,50.0,87.1,-26.021

1e-07,50.0,91.2,-26.021

1e-07,50.0,95.5,-26.021

1e-07,50.0,100.0,-26.021

1e-07,50.0,104.7,-26.021

1e-07,50.0,109.6,-26.021

1e-07,50.0,114.8,-26.021

1e-07,50.0,120.2,-26.021

1e-07,50.0,125.9,-26.021

1e-07,50.0,131.8,-26.021

1e-07,50.0,138.0,-26.021

1e-07,50.0,144.5,-26.021

1e-07,50.0,151.4,-26.021

1e-07,50.0,158.5,-26.021

1e-07,50.0,166.0,-26.021

1e-07,50.0,173.8,-26.021

1e-07,50.0,182.0,-26.021

1e-07,50.0,190.5,-26.021

1e-07,50.0,199.5,-26.021

1e-07,50.0,208.9,-26.021

1e-07,50.0,218.8,-26.021

1e-07,50.0,229.1,-26.021

1e-07,50.0,239.9,-26.021

1e-07,50.0,251.2,-26.021

1e-07,50.0,263.0,-26.021

1e-07,50.0,275.4,-26.021

1e-07,50.0,288.4,-26.021

1e-07,50.0,302.0,-26.021

1e-07,50.0,316.2,-26.021

1e-07,50.0,331.1,-26.021

1e-07,50.0,346.7,-26.021

1e-07,50.0,363.1,-26.021

1e-07,50.0,380.2,-26.021

1e-07,50.0,398.1,-26.022

1e-07,50.0,416.9,-26.022

1e-07,50.0,436.5,-26.022

1e-07,50.0,457.1,-26.022

1e-07,50.0,478.6,-26.022

1e-07,50.0,501.2,-26.022

1e-07,50.0,524.8,-26.022

1e-07,50.0,549.5,-26.022

1e-07,50.0,575.4,-26.022

1e-07,50.0,602.6,-26.022

1e-07,50.0,631.0,-26.023

1e-07,50.0,660.7,-26.023

1e-07,50.0,691.8,-26.023

1e-07,50.0,724.4,-26.023

1e-07,50.0,758.6,-26.023

1e-07,50.0,794.3,-26.024

1e-07,50.0,831.8,-26.024

1e-07,50.0,871.0,-26.024

1e-07,50.0,912.0,-26.024

1e-07,50.0,955.0,-26.025

1e-07,50.0,10000.0,-26.025

1e-07,50.0,10470.0,-26.026

1e-07,50.0,10960.0,-26.026

1e-07,50.0,11480.0,-26.027

1e-07,50.0,12020.0,-26.027

1e-07,50.0,12589.999999999998,-26.028

1e-07,50.0,13180.0,-26.028

1e-07,50.0,13799.999999999998,-26.029

1e-07,50.0,14450.0,-26.03

1e-07,50.0,15140.0,-26.031

1e-07,50.0,15850.0,-26.032

1e-07,50.0,16600.0,-26.033

1e-07,50.0,17380.0,-26.034

1e-07,50.0,18200.0,-26.035

1e-07,50.0,19050.0,-26.036

1e-07,50.0,19950.0,-26.038

1e-07,50.0,20890.0,-26.04

1e-07,50.0,21880.0,-26.041

1e-07,50.0,22910.0,-26.043

1e-07,50.0,23990.0,-26.045

1e-07,50.0,25120.0,-26.048

1e-07,50.0,26300.0,-26.05

1e-07,50.0,27540.0,-26.053

1e-07,50.0,28840.0,-26.056

1e-07,50.0,30200.0,-26.06

1e-07,50.0,31620.0,-26.063

1e-07,50.0,33110.0,-26.068

1e-07,50.0,34670.0,-26.072

1e-07,50.0,36310.0,-26.077

1e-07,50.0,38020.0,-26.082

1e-07,50.0,39810.0,-26.088

1e-07,50.0,41689.99999999999,-26.095

1e-07,50.0,43650.0,-26.102

1e-07,50.0,45710.0,-26.109

1e-07,50.0,47859.99999999999,-26.118

1e-07,50.0,50119.99999999999,-26.127

1e-07,50.0,52480.0,-26.137

1e-07,50.0,54950.0,-26.148

1e-07,50.0,57539.99999999999,-26.16

1e-07,50.0,60260.0,-26.174

1e-07,50.0,63099.99999999999,-26.188

1e-07,50.0,66070.0,-26.204

1e-07,50.0,69180.0,-26.221

1e-07,50.0,72440.0,-26.24

1e-07,50.0,75860.0,-26.26

1e-07,50.0,79430.0,-26.283

1e-07,50.0,83180.0,-26.307

1e-07,50.0,87100.00000000001,-26.334

1e-07,50.0,91199.99999999999,-26.363

1e-07,50.0,95500.0,-26.395

1e-07,50.0,100000.0,-26.429

1e-07,50.0,104700.0,-26.467

1e-07,50.0,109600.00000000001,-26.507

1e-07,50.0,114800.0,-26.551

1e-07,50.0,120200.0,-26.599

1e-07,50.0,125900.0,-26.651

1e-07,50.0,131800.0,-26.707

1e-07,50.0,138000.0,-26.768

1e-07,50.0,144500.0,-26.834

1e-07,50.0,151400.0,-26.905

1e-07,50.0,158500.0,-26.981

1e-07,50.0,166000.0,-27.064

1e-07,50.0,173800.0,-27.152

1e-07,50.0,182000.0,-27.247

1e-07,50.0,190500.0,-27.349

1e-07,50.0,199500.0,-27.458

1e-07,50.0,208900.0,-27.574

1e-07,50.0,218800.0,-27.699

1e-07,50.0,229100.0,-27.831

